9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677,7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409010","提升物理防禦力（不可降低）","boss_def_lower_limit","201"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409010","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","202"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409010","賦予TP上升的上限","17","203"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409010","降低HP吸收","9","204"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409020","闇屬性獎勵特大幅度提升","16","205"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409020","提升物理防禦力（不可降低）","boss_def_lower_limit","206"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","207"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409020","賦予TP上升的上限","17","208"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409020","降低HP吸收","9","209"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409030","闇屬性獎勵特大幅度提升","16","210"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409030","提升物理防禦力（不可降低）","boss_def_lower_limit","211"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","212"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409030","賦予TP上升的上限","17","213"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409030","降低HP吸收","9","214"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409110","闇屬性獎勵特大幅度提升","16","215"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409110","提升物理防禦力（不可降低）","boss_def_lower_limit","216"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409110","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","217"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409110","減少降低TP","boss_tp_down_cut","218"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409110","傷害值衰減","18","219"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409110","賦予TP上升的上限","17","220"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409110","降低HP吸收","9","221"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409120","闇屬性獎勵特大幅度提升","16","222"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409120","提升物理防禦力（不可降低）","boss_def_lower_limit","223"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409120","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","224"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409120","減少降低TP","boss_tp_down_cut","225"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409120","傷害值衰減","18","226"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409120","賦予TP上升的上限","17","227"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409120","降低HP吸收","9","228"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409130","闇屬性獎勵特大幅度提升","16","229"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409130","提升物理防禦力（不可降低）","boss_def_lower_limit","230"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409130","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","231"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409130","減少降低TP","boss_tp_down_cut","232"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409130","傷害值衰減","18","233"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409130","賦予TP上升的上限","17","234"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409130","降低HP吸收","9","235"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409140","闇屬性獎勵特大幅度提升","16","236"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409140","提升物理防禦力（不可降低）","boss_def_lower_limit","237"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409140","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","238"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409140","減少降低TP","boss_tp_down_cut","239"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409140","傷害值衰減","18","240"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409140","賦予TP上升的上限","17","241"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409140","降低HP吸收","9","242"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409210","闇屬性獎勵特大幅度提升","16","243"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409210","提升物理防禦力（不可降低）","boss_def_lower_limit","244"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409210","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","245"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409210","減少降低TP","boss_tp_down_cut","246"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409210","傷害值衰減","18","247"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409210","賦予TP上升的上限","17","248"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409210","降低HP吸收","9","249"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409220","闇屬性獎勵特大幅度提升","16","250"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409220","提升物理防禦力（不可降低）","boss_def_lower_limit","251"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409220","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","252"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409220","減少降低TP","boss_tp_down_cut","253"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409220","傷害值衰減","18","254"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409220","賦予TP上升的上限","17","255"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409220","降低HP吸收","9","256"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409230","闇屬性獎勵特大幅度提升","16","257"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409230","提升物理防禦力（不可降低）","boss_def_lower_limit","258"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409230","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","259"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409230","減少降低TP","boss_tp_down_cut","260"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409230","傷害值衰減","18","261"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409230","賦予TP上升的上限","17","262"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409230","降低HP吸收","9","263"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409240","闇屬性獎勵特大幅度提升","16","264"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409240","提升物理防禦力（不可降低）","boss_def_lower_limit","265"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409240","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","266"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92409240","減少降低TP","boss_tp_down_cut","267"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409240","傷害值衰減","18","268"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409240","賦予TP上升的上限","17","269"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409240","降低HP吸收","9","270"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409310","闇屬性獎勵特大幅度提升","16","271"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409310","提升物理防禦力（不可降低）","boss_def_lower_limit","272"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409310","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","273"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409310","傷害值衰減","18","274"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409310","賦予TP上升的上限","17","275"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409310","降低HP吸收","9","276"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409320","闇屬性獎勵特大幅度提升","16","277"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92409320","提升物理防禦力（不可降低）","boss_def_lower_limit","278"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92409320","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","279"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92409320","傷害值衰減","18","280"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92409320","賦予TP上升的上限","17","281"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92409320","降低HP吸收","9","282"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","92409330","闇屬性獎勵特大幅度提升","16","283"
