1f1bc9e29abd3d65daba92e76327e3e62730a886457033ab68f71aa02d7c20cd,95458579346265014a7821bb833d751ea7798460c93fdb2e5849b5a9a8e2a31b,b8ba1722b8fc0cba87152dbc1a57c7aa71871e388671c4f42c11075763e33e35,0dde780e5f1dcf8cd2c718372eb2f39aaf1a48c79e501aa6ce6e641047bd9c4e,7a8b11da3bd9eb77ccfea3164b5c7643d3f6e30b7cb7e76be1554b55f3d069f7
"提升物理防禦力（不可降低）","92409010","201","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409010","202","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92409010","203","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409010","204","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409020","205","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409020","206","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409020","207","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92409020","208","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409020","209","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409030","210","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409030","211","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409030","212","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92409030","213","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409030","214","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409110","215","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409110","216","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409110","217","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409110","218","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409110","219","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409110","220","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409110","221","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409120","222","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409120","223","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409120","224","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409120","225","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409120","226","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409120","227","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409120","228","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409130","229","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409130","230","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409130","231","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409130","232","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409130","233","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409130","234","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409130","235","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409140","236","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409140","237","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409140","238","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409140","239","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409140","240","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409140","241","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409140","242","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409210","243","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409210","244","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409210","245","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409210","246","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409210","247","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409210","248","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409210","249","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409220","250","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409220","251","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409220","252","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409220","253","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409220","254","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409220","255","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409220","256","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409230","257","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409230","258","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409230","259","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409230","260","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409230","261","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409230","262","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409230","263","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409240","264","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409240","265","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409240","266","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92409240","267","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92409240","268","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409240","269","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409240","270","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409310","271","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409310","272","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409310","273","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"傷害值衰減","92409310","274","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409310","275","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409310","276","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409320","277","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92409320","278","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92409320","279","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"傷害值衰減","92409320","280","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92409320","281","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92409320","282","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"闇屬性獎勵特大幅度提升","92409330","283","16","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
