07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","110511","869","10","-125","2","","1750","","18690008"
"","","110011","869","10","-250","2","","1500","","18690009"
"","","1","869","10","-125","2","","1750","","18690010"
"","","2","869","10","-250","2","","1500","","18690011"
"","","1","869","10","-125","33","","1750","","18690012"
"","","2","869","10","-250","33","","1500","","18690013"
"","","se_10053800","870","","","23","","se_fpc_water_random","","18700001"
"1.75","cmn_float","1","870","-1100","22","1","-180","110111","1","18700002"
"1.75","cmn_float","1","870","-1350","12","1","-125","117111","0","18700003"
"1.75","cmn_float","1","870","-1600","22","1","-180","127011","0","18700004"
"1","","6","870","-180","-1070","31","1","2","","18700005"
"1","","6","870","-125","-1350","31","1","3","","18700006"
"1","","6","870","-180","-1600","31","1","4","","18700007"
"","","110111","870","13.5","-180","2","","1500","","18700008"
"","","117111","870","13.5","-125","2","","1250","","18700009"
"","","127011","870","13.5","-180","2","","1000","","18700010"
"","","2","870","13.5","-180","33","","1530","","18700011"
"","","3","870","13.5","-125","33","","1250","","18700012"
"","","4","870","13.5","-180","33","","1000","","18700013"
"","","2.7","870","","","93","","","","18700014"
"","","vo_fpc","870","0","","21","","vo_fpc_87001","","18700015"
"","","se_10053800","871","","","23","","se_fpc_water_random","","18710001"
"1.75","cmn_swm_breastStroke","1","871","-850","12","1","-125","122511","0","18710002"
"1.75","cmn_swm_breastStroke","1","871","-1100","32","1","-250","117411","0","18710003"
"1","","2","871","-125","-850","31","1","1","","18710004"
"1","","2","871","-250","-1100","31","1","2","","18710005"
"","","122511","871","10","-125","2","","1750","","18710006"
"","","117411","871","10","-250","2","","1500","","18710007"
"","","1","871","10","-125","33","","1750","","18710008"
"","","2","871","10","-250","33","","1500","","18710009"
"","","se_10053800","872","","","23","","se_fpc_water_random","","18720001"
"1.75","cmn_boat_relax_l","1","872","-850","23","1","-180","110311","0","18720002"
"1.75","cmn_boat_relax","1","872","-1200","23","1","-180","126711","0","18720003"
"1.75","cmn_boat_idle_blue","2","872","-850","22","5","-180","1","0","18720004"
"1.75","cmn_boat_idle_l","2","872","-1200","22","5","-180","2","0","18720005"
"1","","116","872","-180","-850","31","1","1","","18720006"
"1","","116","872","-180","-1200","31","1","2","","18720007"
"","","110311","872","13.5","-180","2","","1750","","18720008"
"","","126711","872","13.5","-180","2","","1400","","18720009"
"","","1","872","13.5","-180","2","","1750","","18720010"
"","","2","872","13.5","-180","2","","1400","","18720011"
"","","1","872","13.5","-180","33","","1750","","18720012"
"","","2","872","13.5","-180","33","","1400","","18720013"
"","","2.7","872","","","93","","","","18720014"
"","","vo_fpc","872","0","","21","","vo_fpc_87201","","18720015"
"","","se_10053800","873","","","23","","se_fpc_water_random","","18730001"
"1.75","cmn_swm_breastStroke","1","873","-850","12","1","-125","110411","0","18730002"
"1.75","cmn_swm_breastStroke","1","873","-1100","32","1","-250","115711","0","18730003"
"1","","2","873","-125","-850","31","1","1","","18730004"
"1","","2","873","-250","-1100","31","1","2","","18730005"
"","","110411","873","10","-125","2","","1750","","18730006"
"","","115711","873","10","-250","2","","1500","","18730007"
"","","1","873","10","-125","33","","1750","","18730008"
"","","2","873","10","-250","33","","1500","","18730009"
"","","se_10053800","874","","","23","","se_fpc_water_random","","18740001"
"1.75","cmn_float","1","874","-1100","22","1","-180","110411","1","18740002"
"1.75","cmn_float","1","874","-1350","12","1","-125","122611","0","18740003"
"1","","6","874","-180","-1070","31","1","2","","18740004"
"1","","6","874","-125","-1350","31","1","3","","18740005"
"","","110411","874","13.5","-180","2","","1500","","18740006"
"","","122611","874","13.5","-125","2","","1250","","18740007"
"","","2","874","13.5","-180","33","","1530","","18740008"
"","","3","874","13.5","-125","33","","1250","","18740009"
"","","2.6","874","","","93","","","","18740010"
"","","vo_fpc","874","0","","21","","vo_fpc_87401","","18740011"
"","","se_10053800","875","","","23","","se_fpc_water_random","","18750001"
"1.75","cmn_swm_diving","1","875","-850","12","1","-125","108011","0","18750002"
"1.75","cmn_swm_diving","1","875","-1100","22","1","-180","129411","0","18750003"
"1","","9","875","-125","-850","31","1","1","","18750004"
"1","","9","875","-180","-1100","31","1","2","","18750005"
"","","108011","875","13.5","-125","2","","1750","","18750006"
"","","129411","875","13.5","-180","2","","1500","","18750007"
"","","1","875","13.5","-125","33","","1750","","18750008"
"","","2","875","13.5","-180","33","","1500","","18750009"
"","","se_10053800","876","","","23","","se_fpc_water_random","","18760001"
"1.75","cmn_float","1","876","-1100","22","1","-180","117111","1","18760002"
"1.75","cmn_float","1","876","-1350","12","1","-125","129311","0","18760003"
"1","","6","876","-180","-1070","31","1","2","","18760004"
"1","","6","876","-125","-1350","31","1","3","","18760005"
"","","117111","876","13.5","-180","2","","1500","","18760006"
"","","129311","876","13.5","-125","2","","1250","","18760007"
"","","2","876","13.5","-180","33","","1530","","18760008"
"","","3","876","13.5","-125","33","","1250","","18760009"
"","","2.8","876","","","93","","","","18760010"
"","","vo_fpc","876","0","","21","","vo_fpc_87601","","18760011"
"","","se_10053800","877","","","23","","se_fpc_water_random","","18770001"
"1.75","cmn_crawl","1","877","-850","12","1","-125","117211","0","18770002"
"1.75","cmn_crawl","1","877","-1100","32","1","-250","117311","0","18770003"
"1.75","cmn_crawl","1","877","-1350","12","1","-125","117411","0","18770004"
"1.75","cmn_swm_diving","1","877","-1600","32","1","-250","129511","0","18770005"
"1","","7","877","-125","-850","31","1","1","","18770006"
"1","","1","877","-250","-1100","31","1","2","","18770007"
"1","","7","877","-125","-1350","31","1","3","","18770008"
"1","","9","877","-250","-1600","31","1","4","","18770009"
"","","117211","877","10","-125","2","","1750","","18770010"
"","","117311","877","10","-250","2","","1500","","18770011"
"","","117411","877","10","-125","2","","1250","","18770012"
"","","129511","877","10","-250","2","","1000","","18770013"
"","","1","877","10","-125","33","","1750","","18770014"
"","","2","877","10","-250","33","","1500","","18770015"
"","","3","877","10","-125","33","","1250","","18770016"
"","","4","877","10","-250","33","","1000","","18770017"
"","","se_10053800","878","","","23","","se_fpc_water_random","","18780001"
"1.75","cmn_swm_tread","1","878","-850","13","1","-125","110611","0","18780002"
"1.75","cmn_swm_tread","1","878","-1100","33","1","-250","129511","0","18780003"
"1.75","cmn_swm_tread_pink","1","878","-850","12","5","-125","1","0","18780004"
"1.75","cmn_swm_tread_blue","1","878","-1100","32","5","-250","2","0","18780005"
"1","","13","878","-125","-850","31","1","1","","18780006"
"1","","3","878","-250","-1100","31","1","2","","18780007"
"","","110611","878","13.5","-125","2","","1750","","18780008"
"","","129511","878","13.5","-250","2","","1500","","18780009"
"","","1","878","13.5","-125","2","","1750","","18780010"
"","","2","878","13.5","-250","2","","1500","","18780011"
"","","1","878","13.5","-125","33","","1750","","18780012"
"","","2","878","13.5","-250","33","","1500","","18780013"
"","","se_10053800","879","","","23","","se_fpc_water_random","","18790001"
"1.75","cmn_float","1","879","-1100","22","1","-180","107611","1","18790002"
"1.75","cmn_float","1","879","-1350","12","1","-125","122611","0","18790003"
"1","","6","879","-180","-1070","31","1","2","","18790004"
"1","","6","879","-125","-1350","31","1","3","","18790005"
"","","107611","879","13.5","-180","2","","1500","","18790006"
"","","122611","879","13.5","-125","2","","1250","","18790007"
"","","2","879","13.5","-180","33","","1530","","18790008"
"","","3","879","13.5","-125","33","","1250","","18790009"
"","","2.6","879","","","93","","","","18790010"
"","","vo_fpc","879","0","","21","","vo_fpc_87901","","18790011"
"","","se_10053800","880","","","23","","se_fpc_water_random","","18800001"
"1.75","cmn_float","1","880","-1100","22","1","-180","110311","1","18800002"
"1.75","04_misogi_float_loop","1","880","-1350","12","1","-125","129311","1","18800003"
"1","","6","880","-180","-1070","31","1","2","","18800004"
"1","","6","880","-125","-1350","31","1","3","","18800005"
"","","110311","880","13.5","-180","2","","1500","","18800006"
"","","129311","880","13.5","-125","2","","1250","","18800007"
"","","2","880","13.5","-180","33","","1530","","18800008"
"","","3","880","13.5","-125","33","","1250","","18800009"
"","","2.5","880","","","93","","","","18800010"
"","","vo_fpc","880","0","","21","","vo_fpc_88001","","18800011"
"","","se_10053800","881","","","23","","se_fpc_water_random","","18810001"
"1.75","cmn_float","1","881","-1100","22","1","-180","113511","1","18810002"
"1.75","04_misogi_float_loop","1","881","-1350","12","1","-125","129311","1","18810003"
"1","","6","881","-180","-1070","31","1","2","","18810004"
"1","","6","881","-125","-1350","31","1","3","","18810005"
"","","113511","881","13.5","-180","2","","1500","","18810006"
"","","129311","881","13.5","-125","2","","1250","","18810007"
"","","2","881","13.5","-180","33","","1530","","18810008"
"","","3","881","13.5","-125","33","","1250","","18810009"
"","","2.4","881","","","93","","","","18810010"
"","","vo_fpc","881","0","","21","","vo_fpc_88101","","18810011"
"","","se_10053800","882","","","23","","se_fpc_water_random","","18820001"
"1.75","cmn_boat_relax_l","1","882","-850","23","1","-180","108011","0","18820002"
"1.75","cmn_boat_cat","1","882","-1200","23","1","-180","107911","0","18820003"
"1.75","cmn_boat_idle_blue","2","882","-850","22","5","-180","1","0","18820004"
"1.75","cmn_boat_idle_l","2","882","-1200","22","5","-180","2","0","18820005"
"1","","116","882","-180","-850","31","1","1","","18820006"
"1","","116","882","-180","-1200","31","1","2","","18820007"
"","","108011","882","13.5","-180","2","","1750","","18820008"
"","","107911","882","13.5","-180","2","","1400","","18820009"
"","","1","882","13.5","-180","2","","1750","","18820010"
"","","2","882","13.5","-180","2","","1400","","18820011"
"","","1","882","13.5","-180","33","","1750","","18820012"
"","","2","882","13.5","-180","33","","1400","","18820013"
"","","1","882","","","93","","","","18820014"
"","","vo_fpc","882","0","","21","","vo_fpc_88201","","18820015"
"","","se_10053800","883","","","23","","se_fpc_water_random","","18830001"
"1.75","10_cmn_dogscratch","1","883","-850","12","1","-125","110411","0","18830002"
"1.75","10_cmn_dogscratch","1","883","-1100","32","1","-250","110511","0","18830003"
"1.75","10_cmn_dogscratch","1","883","-1350","12","1","-125","115711","0","18830004"
"1.75","10_cmn_dogscratch","1","883","-1600","32","1","-250","122411","0","18830005"
"1","","117","883","-125","-850","31","1","1","","18830006"
"1","","117","883","-250","-1100","31","1","2","","18830007"
"1","","117","883","-125","-1350","31","1","3","","18830008"
"1","","117","883","-250","-1600","31","1","4","","18830009"
"","","110411","883","10","-125","2","","1750","","18830010"
"","","110511","883","10","-250","2","","1500","","18830011"
"","","115711","883","10","-125","2","","1250","","18830012"
"","","122411","883","10","-250","2","","1000","","18830013"
"","","1","883","10","-125","33","","1750","","18830014"
"","","2","883","10","-250","33","","1500","","18830015"
"","","3","883","10","-125","33","","1250","","18830016"
"","","4","883","10","-250","33","","1000","","18830017"
"","","se_10053800","884","","","23","","se_fpc_water_random","","18840001"
"1.75","cmn_float","1","884","-1100","22","1","-180","107511","1","18840002"
"1.75","cmn_float","1","884","-1350","12","1","-125","126611","0","18840003"
"1","","6","884","-180","-1070","31","1","2","","18840004"
"1","","6","884","-125","-1350","31","1","3","","18840005"
"","","107511","884","13.5","-180","2","","1500","","18840006"
"","","126611","884","13.5","-125","2","","1250","","18840007"
"","","2","884","13.5","-180","33","","1530","","18840008"
"","","3","884","13.5","-125","33","","1250","","18840009"
"","","2.2","884","","","93","","","","18840010"
"","","vo_fpc","884","0","","21","","vo_fpc_88401","","18840011"
"","","se_10053800","885","","","23","","se_fpc_water_random","","18850001"
"1.75","cmn_float","1","885","-1100","22","1","-180","107611","1","18850002"
"1.75","cmn_float","1","885","-1350","12","1","-125","107711","0","18850003"
"1","","6","885","-180","-1070","31","1","2","","18850004"
"1","","6","885","-125","-1350","31","1","3","","18850005"
"","","107611","885","13.5","-180","2","","1500","","18850006"
"","","107711","885","13.5","-125","2","","1250","","18850007"
"","","2","885","13.5","-180","33","","1530","","18850008"
"","","3","885","13.5","-125","33","","1250","","18850009"
"","","2.6","885","","","93","","","","18850010"
"","","vo_fpc","885","0","","21","","vo_fpc_88501","","18850011"
"","","se_10053800","886","","","23","","se_fpc_water_random","","18860001"
"1.75","cmn_boat_relax_l","1","886","-850","23","1","-180","113111","0","18860002"
"1.75","cmn_boat_relax","1","886","-1200","23","1","-180","122511","0","18860003"
"1.75","cmn_boat_idle_blue","2","886","-850","22","5","-180","1","0","18860004"
"1.75","cmn_boat_idle_l","2","886","-1200","22","5","-180","2","0","18860005"
"1","","116","886","-180","-850","31","1","1","","18860006"
"1","","116","886","-180","-1200","31","1","2","","18860007"
"","","113111","886","13.5","-180","2","","1750","","18860008"
"","","122511","886","13.5","-180","2","","1400","","18860009"
"","","1","886","13.5","-180","2","","1750","","18860010"
"","","2","886","13.5","-180","2","","1400","","18860011"
"","","1","886","13.5","-180","33","","1750","","18860012"
"","","2","886","13.5","-180","33","","1400","","18860013"
"","","2.6","886","","","93","","","","18860014"
"","","vo_fpc","886","0","","21","","vo_fpc_88601","","18860015"
"","","se_10053800","887","","","23","","se_fpc_water_random","","18870001"
"1.75","cmn_float","1","887","-1100","22","1","-180","107711","1","18870002"
"1.75","cmn_float","1","887","-1350","12","1","-125","122711","0","18870003"
"1","","6","887","-180","-1070","31","1","2","","18870004"
"1","","6","887","-125","-1350","31","1","3","","18870005"
"","","107711","887","13.5","-180","2","","1500","","18870006"
"","","122711","887","13.5","-125","2","","1250","","18870007"
"","","2","887","13.5","-180","33","","1530","","18870008"
"","","3","887","13.5","-125","33","","1250","","18870009"
"","","2.5","887","","","93","","","","18870010"
"","","vo_fpc","887","0","","21","","vo_fpc_88701","","18870011"
"","","se_10053800","889","","","23","","se_fpc_water_random","","18890001"
"1.49","09_misogi_run","1","889","750","12","1","-15","122811","1","18890002"
"","","122811","889","5.65","-15","2","","-750","0","18890003"
"","","0.5","889","","","93","","","","18890004"
"","","vo_fpc","889","0","","21","","vo_fpc_88901","","18890005"
"","","se_10053800","890","","","23","","se_fpc_water_random","","18900001"
"1.49","09_misogi_run","1","890","750","12","1","-15","107911","1","18900002"
"","","107911","890","5.65","-15","2","","-750","0","18900003"
"","","0.6","890","","","93","","","","18900004"
"","","vo_fpc","890","0","","21","","vo_fpc_89001","","18900005"
"","","se_10053800","891","","","23","","se_fpc_water_random","","18910001"
"1.75","04_misogi_flutterKick_loop","1","891","1000","22","1","-180","122411","1","18910002"
"1","","12","891","-180","1000","31","1","12","","18910003"
