e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"1","","7","-125","869","","1","1","31","-850","18690006"
"1","","1","-250","869","","2","1","31","-1100","18690007"
"","","110511","10","869","","1750","","2","-125","18690008"
"","","110011","10","869","","1500","","2","-250","18690009"
"","","1","10","869","","1750","","2","-125","18690010"
"","","2","10","869","","1500","","2","-250","18690011"
"","","1","10","869","","1750","","33","-125","18690012"
"","","2","10","869","","1500","","33","-250","18690013"
"","","se_10053800","","870","","se_fpc_water_random","","23","","18700001"
"1.75","cmn_float","1","-1100","870","1","110111","-180","1","22","18700002"
"1.75","cmn_float","1","-1350","870","0","117111","-125","1","12","18700003"
"1.75","cmn_float","1","-1600","870","0","127011","-180","1","22","18700004"
"1","","6","-180","870","","2","1","31","-1070","18700005"
"1","","6","-125","870","","3","1","31","-1350","18700006"
"1","","6","-180","870","","4","1","31","-1600","18700007"
"","","110111","13.5","870","","1500","","2","-180","18700008"
"","","117111","13.5","870","","1250","","2","-125","18700009"
"","","127011","13.5","870","","1000","","2","-180","18700010"
"","","2","13.5","870","","1530","","33","-180","18700011"
"","","3","13.5","870","","1250","","33","-125","18700012"
"","","4","13.5","870","","1000","","33","-180","18700013"
"","","2.7","","870","","","","93","","18700014"
"","","vo_fpc","0","870","","vo_fpc_87001","","21","","18700015"
"","","se_10053800","","871","","se_fpc_water_random","","23","","18710001"
"1.75","cmn_swm_breastStroke","1","-850","871","0","122511","-125","1","12","18710002"
"1.75","cmn_swm_breastStroke","1","-1100","871","0","117411","-250","1","32","18710003"
"1","","2","-125","871","","1","1","31","-850","18710004"
"1","","2","-250","871","","2","1","31","-1100","18710005"
"","","122511","10","871","","1750","","2","-125","18710006"
"","","117411","10","871","","1500","","2","-250","18710007"
"","","1","10","871","","1750","","33","-125","18710008"
"","","2","10","871","","1500","","33","-250","18710009"
"","","se_10053800","","872","","se_fpc_water_random","","23","","18720001"
"1.75","cmn_boat_relax_l","1","-850","872","0","110311","-180","1","23","18720002"
"1.75","cmn_boat_relax","1","-1200","872","0","126711","-180","1","23","18720003"
"1.75","cmn_boat_idle_blue","2","-850","872","0","1","-180","5","22","18720004"
"1.75","cmn_boat_idle_l","2","-1200","872","0","2","-180","5","22","18720005"
"1","","116","-180","872","","1","1","31","-850","18720006"
"1","","116","-180","872","","2","1","31","-1200","18720007"
"","","110311","13.5","872","","1750","","2","-180","18720008"
"","","126711","13.5","872","","1400","","2","-180","18720009"
"","","1","13.5","872","","1750","","2","-180","18720010"
"","","2","13.5","872","","1400","","2","-180","18720011"
"","","1","13.5","872","","1750","","33","-180","18720012"
"","","2","13.5","872","","1400","","33","-180","18720013"
"","","2.7","","872","","","","93","","18720014"
"","","vo_fpc","0","872","","vo_fpc_87201","","21","","18720015"
"","","se_10053800","","873","","se_fpc_water_random","","23","","18730001"
"1.75","cmn_swm_breastStroke","1","-850","873","0","110411","-125","1","12","18730002"
"1.75","cmn_swm_breastStroke","1","-1100","873","0","115711","-250","1","32","18730003"
"1","","2","-125","873","","1","1","31","-850","18730004"
"1","","2","-250","873","","2","1","31","-1100","18730005"
"","","110411","10","873","","1750","","2","-125","18730006"
"","","115711","10","873","","1500","","2","-250","18730007"
"","","1","10","873","","1750","","33","-125","18730008"
"","","2","10","873","","1500","","33","-250","18730009"
"","","se_10053800","","874","","se_fpc_water_random","","23","","18740001"
"1.75","cmn_float","1","-1100","874","1","110411","-180","1","22","18740002"
"1.75","cmn_float","1","-1350","874","0","122611","-125","1","12","18740003"
"1","","6","-180","874","","2","1","31","-1070","18740004"
"1","","6","-125","874","","3","1","31","-1350","18740005"
"","","110411","13.5","874","","1500","","2","-180","18740006"
"","","122611","13.5","874","","1250","","2","-125","18740007"
"","","2","13.5","874","","1530","","33","-180","18740008"
"","","3","13.5","874","","1250","","33","-125","18740009"
"","","2.6","","874","","","","93","","18740010"
"","","vo_fpc","0","874","","vo_fpc_87401","","21","","18740011"
"","","se_10053800","","875","","se_fpc_water_random","","23","","18750001"
"1.75","cmn_swm_diving","1","-850","875","0","108011","-125","1","12","18750002"
"1.75","cmn_swm_diving","1","-1100","875","0","129411","-180","1","22","18750003"
"1","","9","-125","875","","1","1","31","-850","18750004"
"1","","9","-180","875","","2","1","31","-1100","18750005"
"","","108011","13.5","875","","1750","","2","-125","18750006"
"","","129411","13.5","875","","1500","","2","-180","18750007"
"","","1","13.5","875","","1750","","33","-125","18750008"
"","","2","13.5","875","","1500","","33","-180","18750009"
"","","se_10053800","","876","","se_fpc_water_random","","23","","18760001"
"1.75","cmn_float","1","-1100","876","1","117111","-180","1","22","18760002"
"1.75","cmn_float","1","-1350","876","0","129311","-125","1","12","18760003"
"1","","6","-180","876","","2","1","31","-1070","18760004"
"1","","6","-125","876","","3","1","31","-1350","18760005"
"","","117111","13.5","876","","1500","","2","-180","18760006"
"","","129311","13.5","876","","1250","","2","-125","18760007"
"","","2","13.5","876","","1530","","33","-180","18760008"
"","","3","13.5","876","","1250","","33","-125","18760009"
"","","2.8","","876","","","","93","","18760010"
"","","vo_fpc","0","876","","vo_fpc_87601","","21","","18760011"
"","","se_10053800","","877","","se_fpc_water_random","","23","","18770001"
"1.75","cmn_crawl","1","-850","877","0","117211","-125","1","12","18770002"
"1.75","cmn_crawl","1","-1100","877","0","117311","-250","1","32","18770003"
"1.75","cmn_crawl","1","-1350","877","0","117411","-125","1","12","18770004"
"1.75","cmn_swm_diving","1","-1600","877","0","129511","-250","1","32","18770005"
"1","","7","-125","877","","1","1","31","-850","18770006"
"1","","1","-250","877","","2","1","31","-1100","18770007"
"1","","7","-125","877","","3","1","31","-1350","18770008"
"1","","9","-250","877","","4","1","31","-1600","18770009"
"","","117211","10","877","","1750","","2","-125","18770010"
"","","117311","10","877","","1500","","2","-250","18770011"
"","","117411","10","877","","1250","","2","-125","18770012"
"","","129511","10","877","","1000","","2","-250","18770013"
"","","1","10","877","","1750","","33","-125","18770014"
"","","2","10","877","","1500","","33","-250","18770015"
"","","3","10","877","","1250","","33","-125","18770016"
"","","4","10","877","","1000","","33","-250","18770017"
"","","se_10053800","","878","","se_fpc_water_random","","23","","18780001"
"1.75","cmn_swm_tread","1","-850","878","0","110611","-125","1","13","18780002"
"1.75","cmn_swm_tread","1","-1100","878","0","129511","-250","1","33","18780003"
"1.75","cmn_swm_tread_pink","1","-850","878","0","1","-125","5","12","18780004"
"1.75","cmn_swm_tread_blue","1","-1100","878","0","2","-250","5","32","18780005"
"1","","13","-125","878","","1","1","31","-850","18780006"
"1","","3","-250","878","","2","1","31","-1100","18780007"
"","","110611","13.5","878","","1750","","2","-125","18780008"
"","","129511","13.5","878","","1500","","2","-250","18780009"
"","","1","13.5","878","","1750","","2","-125","18780010"
"","","2","13.5","878","","1500","","2","-250","18780011"
"","","1","13.5","878","","1750","","33","-125","18780012"
"","","2","13.5","878","","1500","","33","-250","18780013"
"","","se_10053800","","879","","se_fpc_water_random","","23","","18790001"
"1.75","cmn_float","1","-1100","879","1","107611","-180","1","22","18790002"
"1.75","cmn_float","1","-1350","879","0","122611","-125","1","12","18790003"
"1","","6","-180","879","","2","1","31","-1070","18790004"
"1","","6","-125","879","","3","1","31","-1350","18790005"
"","","107611","13.5","879","","1500","","2","-180","18790006"
"","","122611","13.5","879","","1250","","2","-125","18790007"
"","","2","13.5","879","","1530","","33","-180","18790008"
"","","3","13.5","879","","1250","","33","-125","18790009"
"","","2.6","","879","","","","93","","18790010"
"","","vo_fpc","0","879","","vo_fpc_87901","","21","","18790011"
"","","se_10053800","","880","","se_fpc_water_random","","23","","18800001"
"1.75","cmn_float","1","-1100","880","1","110311","-180","1","22","18800002"
"1.75","04_misogi_float_loop","1","-1350","880","1","129311","-125","1","12","18800003"
"1","","6","-180","880","","2","1","31","-1070","18800004"
"1","","6","-125","880","","3","1","31","-1350","18800005"
"","","110311","13.5","880","","1500","","2","-180","18800006"
"","","129311","13.5","880","","1250","","2","-125","18800007"
"","","2","13.5","880","","1530","","33","-180","18800008"
"","","3","13.5","880","","1250","","33","-125","18800009"
"","","2.5","","880","","","","93","","18800010"
"","","vo_fpc","0","880","","vo_fpc_88001","","21","","18800011"
"","","se_10053800","","881","","se_fpc_water_random","","23","","18810001"
"1.75","cmn_float","1","-1100","881","1","113511","-180","1","22","18810002"
"1.75","04_misogi_float_loop","1","-1350","881","1","129311","-125","1","12","18810003"
"1","","6","-180","881","","2","1","31","-1070","18810004"
"1","","6","-125","881","","3","1","31","-1350","18810005"
"","","113511","13.5","881","","1500","","2","-180","18810006"
"","","129311","13.5","881","","1250","","2","-125","18810007"
"","","2","13.5","881","","1530","","33","-180","18810008"
"","","3","13.5","881","","1250","","33","-125","18810009"
"","","2.4","","881","","","","93","","18810010"
"","","vo_fpc","0","881","","vo_fpc_88101","","21","","18810011"
"","","se_10053800","","882","","se_fpc_water_random","","23","","18820001"
"1.75","cmn_boat_relax_l","1","-850","882","0","108011","-180","1","23","18820002"
"1.75","cmn_boat_cat","1","-1200","882","0","107911","-180","1","23","18820003"
"1.75","cmn_boat_idle_blue","2","-850","882","0","1","-180","5","22","18820004"
"1.75","cmn_boat_idle_l","2","-1200","882","0","2","-180","5","22","18820005"
"1","","116","-180","882","","1","1","31","-850","18820006"
"1","","116","-180","882","","2","1","31","-1200","18820007"
"","","108011","13.5","882","","1750","","2","-180","18820008"
"","","107911","13.5","882","","1400","","2","-180","18820009"
"","","1","13.5","882","","1750","","2","-180","18820010"
"","","2","13.5","882","","1400","","2","-180","18820011"
"","","1","13.5","882","","1750","","33","-180","18820012"
"","","2","13.5","882","","1400","","33","-180","18820013"
"","","1","","882","","","","93","","18820014"
"","","vo_fpc","0","882","","vo_fpc_88201","","21","","18820015"
"","","se_10053800","","883","","se_fpc_water_random","","23","","18830001"
"1.75","10_cmn_dogscratch","1","-850","883","0","110411","-125","1","12","18830002"
"1.75","10_cmn_dogscratch","1","-1100","883","0","110511","-250","1","32","18830003"
"1.75","10_cmn_dogscratch","1","-1350","883","0","115711","-125","1","12","18830004"
"1.75","10_cmn_dogscratch","1","-1600","883","0","122411","-250","1","32","18830005"
"1","","117","-125","883","","1","1","31","-850","18830006"
"1","","117","-250","883","","2","1","31","-1100","18830007"
"1","","117","-125","883","","3","1","31","-1350","18830008"
"1","","117","-250","883","","4","1","31","-1600","18830009"
"","","110411","10","883","","1750","","2","-125","18830010"
"","","110511","10","883","","1500","","2","-250","18830011"
"","","115711","10","883","","1250","","2","-125","18830012"
"","","122411","10","883","","1000","","2","-250","18830013"
"","","1","10","883","","1750","","33","-125","18830014"
"","","2","10","883","","1500","","33","-250","18830015"
"","","3","10","883","","1250","","33","-125","18830016"
"","","4","10","883","","1000","","33","-250","18830017"
"","","se_10053800","","884","","se_fpc_water_random","","23","","18840001"
"1.75","cmn_float","1","-1100","884","1","107511","-180","1","22","18840002"
"1.75","cmn_float","1","-1350","884","0","126611","-125","1","12","18840003"
"1","","6","-180","884","","2","1","31","-1070","18840004"
"1","","6","-125","884","","3","1","31","-1350","18840005"
"","","107511","13.5","884","","1500","","2","-180","18840006"
"","","126611","13.5","884","","1250","","2","-125","18840007"
"","","2","13.5","884","","1530","","33","-180","18840008"
"","","3","13.5","884","","1250","","33","-125","18840009"
"","","2.2","","884","","","","93","","18840010"
"","","vo_fpc","0","884","","vo_fpc_88401","","21","","18840011"
"","","se_10053800","","885","","se_fpc_water_random","","23","","18850001"
"1.75","cmn_float","1","-1100","885","1","107611","-180","1","22","18850002"
"1.75","cmn_float","1","-1350","885","0","107711","-125","1","12","18850003"
"1","","6","-180","885","","2","1","31","-1070","18850004"
"1","","6","-125","885","","3","1","31","-1350","18850005"
"","","107611","13.5","885","","1500","","2","-180","18850006"
"","","107711","13.5","885","","1250","","2","-125","18850007"
"","","2","13.5","885","","1530","","33","-180","18850008"
"","","3","13.5","885","","1250","","33","-125","18850009"
"","","2.6","","885","","","","93","","18850010"
"","","vo_fpc","0","885","","vo_fpc_88501","","21","","18850011"
"","","se_10053800","","886","","se_fpc_water_random","","23","","18860001"
"1.75","cmn_boat_relax_l","1","-850","886","0","113111","-180","1","23","18860002"
"1.75","cmn_boat_relax","1","-1200","886","0","122511","-180","1","23","18860003"
"1.75","cmn_boat_idle_blue","2","-850","886","0","1","-180","5","22","18860004"
"1.75","cmn_boat_idle_l","2","-1200","886","0","2","-180","5","22","18860005"
"1","","116","-180","886","","1","1","31","-850","18860006"
"1","","116","-180","886","","2","1","31","-1200","18860007"
"","","113111","13.5","886","","1750","","2","-180","18860008"
"","","122511","13.5","886","","1400","","2","-180","18860009"
"","","1","13.5","886","","1750","","2","-180","18860010"
"","","2","13.5","886","","1400","","2","-180","18860011"
"","","1","13.5","886","","1750","","33","-180","18860012"
"","","2","13.5","886","","1400","","33","-180","18860013"
"","","2.6","","886","","","","93","","18860014"
"","","vo_fpc","0","886","","vo_fpc_88601","","21","","18860015"
"","","se_10053800","","887","","se_fpc_water_random","","23","","18870001"
"1.75","cmn_float","1","-1100","887","1","107711","-180","1","22","18870002"
"1.75","cmn_float","1","-1350","887","0","122711","-125","1","12","18870003"
"1","","6","-180","887","","2","1","31","-1070","18870004"
"1","","6","-125","887","","3","1","31","-1350","18870005"
"","","107711","13.5","887","","1500","","2","-180","18870006"
"","","122711","13.5","887","","1250","","2","-125","18870007"
"","","2","13.5","887","","1530","","33","-180","18870008"
"","","3","13.5","887","","1250","","33","-125","18870009"
"","","2.5","","887","","","","93","","18870010"
"","","vo_fpc","0","887","","vo_fpc_88701","","21","","18870011"
"","","se_10053800","","889","","se_fpc_water_random","","23","","18890001"
"1.49","09_misogi_run","1","750","889","1","122811","-15","1","12","18890002"
"","","122811","5.65","889","0","-750","","2","-15","18890003"
"","","0.5","","889","","","","93","","18890004"
"","","vo_fpc","0","889","","vo_fpc_88901","","21","","18890005"
"","","se_10053800","","890","","se_fpc_water_random","","23","","18900001"
"1.49","09_misogi_run","1","750","890","1","107911","-15","1","12","18900002"
"","","107911","5.65","890","0","-750","","2","-15","18900003"
"","","0.6","","890","","","","93","","18900004"
"","","vo_fpc","0","890","","vo_fpc_89001","","21","","18900005"
"","","se_10053800","","891","","se_fpc_water_random","","23","","18910001"
"1.75","04_misogi_flutterKick_loop","1","1000","891","1","122411","-180","1","22","18910002"
"1","","12","-180","891","","12","1","31","1000","18910003"
