7cc1b16c10a7b9901e0006f3dd41163970758aba58039d5ff60f4e047baefc57,596d879c963de5a8711349ac359f19f9b2330b39c054b30a1f17587573392672,9e1f868a9876b9954956701d9d57bc1e8df99e9456450f63ae51cc99d0a2e2e1,ba58b775384faf6a719d9d8d9e348aef8315a04a32a09bb948ed5a5c8e161579,6e8fd06ed8543d261555e339830927cb890ba26cebbb12f8e66dc2678352bd87
"ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","81001030","boss_tp_down_cut","185"
"ＨＰ回復量ダウン","バトル開始時、すべてのキャラのＨＰ回復量を特大ダウンさせる。","81001030","2","186"
"水属性ボーナス特大アップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","82001001","13","187"
"深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","82001001","11","188"
"ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","82001001","17","189"
"物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82001001","boss_def_lower_limit","190"
"魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","82001001","boss_magic_def_lower_limit","191"
"ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","82001001","9","192"
"水属性ボーナス特大アップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","82001002","13","193"
"深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","82001002","11","194"
"ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","82001002","17","195"
"物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82001002","boss_def_lower_limit","196"
"魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","82001002","boss_magic_def_lower_limit","197"
"ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","82001002","9","198"
"水属性ボーナス特大アップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","82001003","13","199"
"深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","82001003","11","200"
"ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","82001003","17","201"
"物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82001003","boss_def_lower_limit","202"
"魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","82001003","boss_magic_def_lower_limit","203"
"ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","82001003","9","204"
"水属性ボーナス特大アップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","82001004","13","205"
"深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","82001004","11","206"
"ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","82001004","17","207"
"物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82001004","boss_def_lower_limit","208"
"魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","82001004","boss_magic_def_lower_limit","209"
"ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","82001004","9","210"
"水属性ボーナス特大アップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","82001005","13","211"
"深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","82001005","11","212"
"ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","82001005","17","213"
"物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82001005","boss_def_lower_limit","214"
"魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","82001005","boss_magic_def_lower_limit","215"
"ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","82001005","9","216"
"水属性ボーナス特大アップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","82001006","13","217"
"深域モンスター","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","82001006","11","218"
"ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","82001006","17","219"
"物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82001006","boss_def_lower_limit","220"
"魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","82001006","boss_magic_def_lower_limit","221"
"ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","82001006","9","222"
