3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"水属性ボーナス特大アップ","13","186","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","187","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","188","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408330"
"ＴＰダウンカット","boss_tp_down_cut","189","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408330"
"ダメージ減衰","18","190","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408330"
"ＴＰ上昇上限付与","17","191","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408330"
"ＨＰ吸収ダウン","9","192","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408330"
"水属性ボーナス特大アップ","13","193","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","92408340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","194","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92408340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","195","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92408340"
"ＴＰダウンカット","boss_tp_down_cut","196","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92408340"
"ダメージ減衰","18","197","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92408340"
"ＴＰ上昇上限付与","17","198","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92408340"
"ＨＰ吸収ダウン","9","199","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92408340"
"闇属性ボーナス特大アップ","16","200","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","201","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","202","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409010"
"ＴＰ上昇上限付与","17","203","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409010"
"ＨＰ吸収ダウン","9","204","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409010"
"闇属性ボーナス特大アップ","16","205","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","206","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","207","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409020"
"ＴＰ上昇上限付与","17","208","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409020"
"ＨＰ吸収ダウン","9","209","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409020"
"闇属性ボーナス特大アップ","16","210","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","211","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","212","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409030"
"ＴＰ上昇上限付与","17","213","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409030"
"ＨＰ吸収ダウン","9","214","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409030"
"闇属性ボーナス特大アップ","16","215","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","216","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","217","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409110"
"ＴＰダウンカット","boss_tp_down_cut","218","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409110"
"ダメージ減衰","18","219","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409110"
"ＴＰ上昇上限付与","17","220","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92409110"
"ＨＰ吸収ダウン","9","221","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92409110"
"闇属性ボーナス特大アップ","16","222","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92409120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","223","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92409120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","224","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92409120"
"ＴＰダウンカット","boss_tp_down_cut","225","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92409120"
"ダメージ減衰","18","226","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92409120"
