12f141b7cad235c72fca7982c9818bb65052344d66a5111dabb58131b6d73415,38203682f8fbb9fc6ae84dbc268cdc18c480402de54b461ae3613338c23156fc,da724c020df06d76a5acaeb2c2ad602c87d44660a8c856ecf4150a8af773a99a,cc4a58aff65d9853c0d884e1da2f76be642766908f9c6d6e70065738a588dbcb,736846e9efd8e6eb085d9ec4f9782d25cd51e48321f2b3568486a2dd776d491a,c01bdc60467f560e59a50a08ea4eeb9016243930085f2da6e5d31f4b819c1f04,684d70281ca3a0bc180e3ac6e7eba4cd5a651f89fed1041906cc148f73d8568c
"キャラクターソング\n\n時間 / 01:24\n歌　 / アイラ（松岡由貴）\n　　　シナツ（皆川純子）\n作詞 / シノ（Dream Monster）\n作曲 / シノ（Dream Monster）\n編曲 / シノ（Dream Monster）\nストリングスアレンジ / 三浦良明 (Dream Monster)","1:24","Resonate　～そしてまだ見ぬ明日へ～","0:33","bgm_MC292","bgm_MC292","455"
"ストーリーイベントミニコンテンツ\n-｢Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:12\n作曲 / シノ（Dream Monster）\n編曲 / 小半大","2:12","複製世界メモリーズ（アイラの世界）","0:00","bgm_MC281_juke","bgm_MC281","456"
"ストーリーイベントミニコンテンツ\n-｢Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:30\n作曲 / シノ（Dream Monster）\n編曲 / 小半大","2:30","複製世界メモリーズ（シナツの世界）","0:00","bgm_MC280_juke","bgm_MC280","457"
"キャラクターテーマ\n\n時間 / 04:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","4:25","幻境竜后","0:00","bgm_MC273_juke","bgm_MC273","458"
"キャラクターテーマ\n\n時間 / 02:57\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","2:57","アルシャト","0:00","bgm_MC275_juke","bgm_MC275","459"
"ストーリーイベントテーマ\n-「双奏歌｣アレンジ-\n\n時間 / 02:11\n作曲 / YUU for YOU、常楽寺澪\n編曲 / 岡本優一（Cygames）","2:11","Demon/Snow　起死回生ノ冥府旅情","0:00","bgm_MC284_juke","bgm_MC284","460"
"キャラクターソング\n\n時間 / 01:30\n歌　 / ユキノ（天野聡美）\n　　　サツキ（島袋美由利）\n作詞 / 常楽寺澪\n作曲 / YUU for YOU、常楽寺澪\n編曲 / YUU for YOU","1:30","双奏歌","0:53","bgm_MC293","bgm_MC293","461"
"ストーリーイベントテーマ\n-「最大級のあいうぉんちゅ！｣「アラクネ」アレンジ-\n\n時間 / 02:00\n作曲 / 吉村彰一（Dream Monster）、IM.Lab\n編曲 / 中川峻彰","2:00","煉獄の名探偵　すべてがＷ（ウェブ）になる","0:00","bgm_MC298B_juke","bgm_MC298B","462"
"キャラクターソング\n\n時間 / 01:33\n歌　 / アラクネ（遠藤綾）\n　　　ナーナ（黒沢ともよ）\n作詞 / 吉村彰一（Dream Monster）\n作曲 / 吉村彰一（Dream Monster）\n編曲 / 吉村彰一（Dream Monster）、\n　　　宮内椋太（TRIFRONTIER)","1:33","最大級のあいうぉんちゅ！","0:45","bgm_MC324","bgm_MC324","463"
"ストーリーイベントテーマ\n-「ヒメゴトWhisper」アレンジ-\n\n時間 / 01:43\n作曲 / 梯拓哉（Cygames）\n編曲 / 吉川美矩","1:43","サイレント（ラスト）ナイト　ユイvsミソラのクリスマス大決戦","0:00","bgm_MC305_juke","bgm_MC305","464"
"キャラクターソング\n\n時間 / 01:26\n歌　 / ミソラ（鬼頭明里）\n作詞 / 岩井彩夏（Cygames）\n作曲 / 梯拓哉（Cygames）\n編曲 / 梯拓哉（Cygames）","1:26","ヒメゴトWhisper","0:55","bgm_MC325","bgm_MC325","465"
"キャラクターテーマ\n-「心想い ～ココロオモイ～」アレンジ-\n\n時間 / 02:33\n作曲 / 内海考彰（TRYTONELABO）\n編曲 / 守谷勇人","2:33","嚮導幼君","0","bgm_MC311B_juke","bgm_MC311B","466"
"ストーリーイベントテーマ\n-「It's My Turn！」アレンジ-\n\n時間 / 01:51\n作曲 / 小野寺祐輔（Arte Refact）\n編曲 / 中町友洋","1:51","Labyrinth -reboot　重なる黎明の標","0:00","bgm_MC308A_juke","bgm_MC308A","467"
"キャラクターソング\n\n時間 / 01:29\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 藤村鼓乃美（Arte Refact）\n作曲 / 小野寺祐輔（Arte Refact）\n編曲 / 傳田有矢（Arte Refact）","1:29","It's My Turn！","0:51","bgm_MC326","bgm_MC326","468"
"キャラクターテーマ\n-「三魔姫属」アレンジ-\n\n時間 / 02:33\n作曲 / Enarak（Cygames）\n編曲 / 中町友洋","2:33","リーザ（強欲）","0:00","bgm_MC276_juke","bgm_MC276","469"
"キャラクターテーマ\n-「フレイヤ」アレンジ-\n\n時間 / 01:51\n作曲 / IM.Lab\n編曲 / 岡本優一（Cygames）","1:51","フレイヤ（憤怒）","0:00","bgm_MC277B_juke","bgm_MC277B","470"
"ストーリーイベントテーマ\n-「Delicious Future」「旅の始まり」アレンジ-\n\n時間 / 02:12\n作曲 / 市橋卓也（Cygames）、本田晃弘（Cygames）\n編曲 / 西村真吾","2:12","Grand Cru Royal　召しませ！ハートフルコース","0:00","bgm_MC316_juke","bgm_MC316","471"
"ストーリーイベントボスバトル\n-「新天地の強敵」アレンジ-\n\n時間 / 01:01\n作曲 / 東大路憲太\n編曲 / 田山里奈","1:01","ラストドラゴン・スレイヴ","0:00","bgm_MC295A_juke","bgm_MC295A","472"
"ストーリーイベントボスバトル\n\n時間 / 01:52\n作曲 / 小出大和 (Cygames)\n編曲 / 小出大和 (Cygames)","1:52","六凶・獄蜂メリッサ","0:00","bgm_MC320_juke","bgm_MC320","473"
"キャラクターソング\n\n時間 / 01:37\n歌　 / ペコリーヌ（M・A・O）\n　　　ライラエル（河瀬茉希）\n　　　ネフィ＝ネラ（大久保瑠美）\n　　　ヴァイオレット（長縄まりあ）\n作詞 / 岩井彩夏（Cygames）\n作曲 / 市橋卓也（Cygames）\n編曲 / 市橋卓也（Cygames）","1:37","Delicious Future","0:55","bgm_MC327","bgm_MC327","474"
"ストーリーイベントミニコンテンツ\n-｢Delicious Future｣アレンジ-\n\n時間 / 02:18\n作曲 / 市橋卓也（Cygames）\n編曲 / 吉川美矩","2:18","福弾ける出張ビストロ","0:00","bgm_MC317A_juke","bgm_MC317A","475"
"キャラクターソング\n\n時間 / 01:46\n歌　 / ペコリーヌ（M・A・O）\n作詞 / 高尾奏之介(F.M.F)\n作曲 / 高尾奏之介(F.M.F)\n編曲 / 高尾奏之介(F.M.F)","1:46","とびきりDear My Friends!","1:02","bgm_MC350","bgm_MC350","478"
"キャラクターテーマ\n-「Connecting Happy!!」アレンジ-\n\n時間 / 04:15\n作曲 / 高尾奏之介(F.M.F)\n編曲 / 守谷勇人","4:15","ペコリーヌ（アストライア）","0:12","bgm_MC312B_Full_juke","bgm_MC312B","479"
"キャラクターテーマ\n-「Delicious Future」「旅の始まり」アレンジ-\n\n時間 / 02:32\n作曲 / 市橋卓也（Cygames）、本田晃弘（Cygames）\n編曲 / 中町友洋","2:32","ペコリーヌのグラン・クリュ","0:00","bgm_MC315A_juke","bgm_MC315A","480"
"キャラクターテーマ\n-「Delicious Future」\n 「万華色めく新天地」アレンジ-\n\n時間 / 02:34\n作曲 / 市橋卓也（Cygames）、佐藤遥（Cygames）\n編曲 / 中町友洋","2:34","ライラエルのグラン・クリュ","0:00","bgm_MC315B_juke","bgm_MC315B","481"
"キャラクターテーマ\n-「Delicious Future」\n 「業火燃え盛りし密林」アレンジ-\n\n時間 / 02:37\n作曲 / 市橋卓也（Cygames）、IM.Lab\n編曲 / 中町友洋","2:37","ネフィ＝ネラのグラン・クリュ","0:00","bgm_MC315C_juke","bgm_MC315C","482"
"キャラクターテーマ\n-「Delicious Future」\n 「深閑たる永凍の冥界」アレンジ-\n\n時間 / 02:33\n作曲 / 市橋卓也（Cygames）、東大路憲太\n編曲 / 中町友洋","2:33","ヴァイオレットのグラン・クリュ","0:00","bgm_MC315D_juke","bgm_MC315D","483"
"ストーリーイベントテーマ\n-「Shake Your Peach♡」アレンジ-\n\n時間 / 01:02\n作曲 / YUU for YOU、常楽寺澪\n編曲 / 岡本優一（Cygames）","1:02","爆熱！ピーチクラッシュ・トーナメント　ワカナ＆シオリのHIP＆SPLASH","0:00","bgm_MC337_juke","bgm_MC337","484"
"キャラクターソング\n\n時間 / 01:20\n歌　 / ワカナ（石見舞菜香）\n　　　シオリ（小清水亜美）\n作詞 / 常楽寺澪\n作曲 / YUU for YOU、常楽寺澪\n編曲 / YUU for YOU","1:20","Shake Your Peach♡","0:50","bgm_MC328","bgm_MC328","485"
"黎明界ラビリンス\n-「迷宮女王」アレンジ-\n\n時間 / 01:27\n作曲 / 白井友規（Cygames）、岡本優一（Cygames）\n　　　小半大\n編曲 / 小半大","1:27","いざ、黎明の門を開く","0:00","bgm_MC241_juke","bgm_MC241","486"
"黎明界ラビリンス\n-「迷宮女王」アレンジ-\n\n時間 / 02:27\n作曲 / 白井友規（Cygames）、岡本優一（Cygames）\n　　　小出大和（Cygames）\n編曲 / 小出大和（Cygames）","2:27","万象渦巻く迷宮回廊","0:00","bgm_MC242_juke","bgm_MC242","487"
"黎明界ラビリンス\n-「迷宮女王」アレンジ-\n\n時間 / 02:05\n作曲 / 白井友規（Cygames）、岡本優一（Cygames）\n　　　守谷勇人\n編曲 / 守谷勇人","2:05","万流帰一のエンドポイント","0:00","bgm_MC243_juke","bgm_MC243","488"
"キャラクターソング\n\n時間 / 01:50\n歌　 / ペコリーヌ（M・A・O）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　シェフィ（近藤玲奈）\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","1:50","Precious Journey（美食殿ver.）","1:00","bgm_MC348","bgm_MC348","489"
"キャラクターソング\n\n時間 / 01:55\n歌　 / ペコリーヌ（M・A・O）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　シェフィ（近藤玲奈）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹（F.M.F）","1:55","Connecting Happy!!（4人ver.）","1:00","bgm_MC349","bgm_MC349","490"
"ストーリーイベントテーマ\n-「See-Through」アレンジ-\n\n時間 / 01:18\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 岡本優一（Cygames）","1:18","VILLAINESS　回避せよ！キョウカのへんふし破滅エンド","0:00","bgm_MC342A_juke","bgm_MC342A","491"
"キャラクターソング\n\n時間 / 01:29\n歌　 / グレイス（富田美憂）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","1:29","See-Through","0:52","bgm_MC329","bgm_MC329","492"
"キャラクターテーマ\n-「Absolute Secret」アレンジ-\n\n時間 / 01:25\n作曲 / 馬渕直純\n編曲 / 田山里奈","1:25","覇瞳天星","0:00","bgm_MC313B_juke","bgm_MC313B","493"
"エルピス討魔戦線\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","1:18","奈落より出でし災禍","0","bgm_MC278C_juke","bgm_MC278C","494"
"エルピス討魔戦線\n-「エルピス島の戦い」アレンジ-\n\n時間 / 01:26\n作曲 / 白井友規（Cygames）\n編曲 / 岡本優一（Cygames）","1:29","勇往なる戦陣にて魔を討たん","0:00","bgm_MC294_juke","bgm_MC294","495"
"エルピス討魔戦線\n-「新天地の強敵」アレンジ-\n\n時間 / 01:03\n作曲 / 東大路憲太\n編曲 / 田山里奈","1:25","明日を勝ち取る最前線","0:00","bgm_MC295B_juke","bgm_MC295B","496"
"ストーリーイベントテーマ\n-「明け白むReRe｣アレンジ-\n\n時間 / 01:57\n作曲 / 佐藤厚仁\n編曲 / 吉川美矩","1:57","Re:birth maiden　‐再誕の乙女たち‐","0:00","bgm_MC354_juke","bgm_MC354","497"
"ストーリーイベントボスバトル\n\n時間 / 01:01\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）、小出大和（Cygames）","1:01","ウォーロック局長 ヤトガミ","0:00","bgm_MC356_juke","bgm_MC356","498"
"キャラクターソング\n\n時間 / 01:32\n歌　 / リリ（鈴木みのり）\n作詞 / 岩井彩夏（Cygames）\n作曲 / 佐藤厚仁\n編曲 / 佐藤厚仁","1:32","明け白むReRe","0:55","bgm_MC331","bgm_MC331","499"
"キャラクターテーマ\n-「幻境竜后」アレンジ-\n\n時間 / 02:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0.124305555555556","幻境竜后（第二形態）","0:00","bgm_MC359_juke","bgm_MC359","500"
"キャラクターテーマ\n-「Ice Wings」アレンジ-\n\n時間 / 01:36\n作曲 / AJURIKA\n編曲 / 中川峻彰","1:36","シェフィ（ヴァードラッヘ）","0:00","bgm_MC360B_juke","bgm_MC360B","501"
