12e6279ffed2209909f92e16f29bc4cfb483c71bfbce07d1fc2881d42dd257f3,e05c4998217dff5e4a4be2fe1b16fd60c26015bf4d8f55b2f2e363b1579661a2,e53a9a64175c95ee9e26720651c4ec54d1992eaa2b27236b7ef2c2cb3c545b3a,5a20f6ad838cabe497dcff30ea47740ec8150015ab7f037dddbc7958691137d8,a66fe4d389649ae5c61ac061627765b13dfe73a86f2b9928244de9d12fe87801,023dd2a27b75ca8e4ef0384f2da348c0b63f23f143733117333925405a0fcf9c,ce15e8dbf3f73fcbff36e25b618df649b196719b8ed29663c919fded22167606
"454","ストーリーイベントボスバトル\n-「神たる者との決戦」\n 「Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:49\n作曲 / 西木康智・東大路憲太\n　　　シノ（Dream Monster）\n編曲 / 中町友洋","bgm_MC283","2:49","0:00","bgm_MC283_juke","覇瞳皇帝'"
"455","キャラクターソング\n\n時間 / 01:24\n歌　 / アイラ（松岡由貴）\n　　　シナツ（皆川純子）\n作詞 / シノ（Dream Monster）\n作曲 / シノ（Dream Monster）\n編曲 / シノ（Dream Monster）\nストリングスアレンジ / 三浦良明 (Dream Monster)","bgm_MC292","1:24","0:33","bgm_MC292","Resonate　～そしてまだ見ぬ明日へ～"
"456","ストーリーイベントミニコンテンツ\n-｢Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:12\n作曲 / シノ（Dream Monster）\n編曲 / 小半大","bgm_MC281","2:12","0:00","bgm_MC281_juke","複製世界メモリーズ（アイラの世界）"
"457","ストーリーイベントミニコンテンツ\n-｢Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:30\n作曲 / シノ（Dream Monster）\n編曲 / 小半大","bgm_MC280","2:30","0:00","bgm_MC280_juke","複製世界メモリーズ（シナツの世界）"
"458","キャラクターテーマ\n\n時間 / 04:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC273","4:25","0:00","bgm_MC273_juke","幻境竜后"
"459","キャラクターテーマ\n\n時間 / 02:57\n作曲 / 岡本優一（Cygames）、加藤慶\n編曲 / 岡本優一（Cygames）","bgm_MC275","2:57","0:00","bgm_MC275_juke","アルシャト"
"460","ストーリーイベントテーマ\n-「双奏歌｣アレンジ-\n\n時間 / 02:11\n作曲 / YUU for YOU、常楽寺澪\n編曲 / 岡本優一（Cygames）","bgm_MC284","2:11","0:00","bgm_MC284_juke","Demon/Snow　起死回生ノ冥府旅情"
"461","キャラクターソング\n\n時間 / 01:30\n歌　 / ユキノ（天野聡美）\n　　　サツキ（島袋美由利）\n作詞 / 常楽寺澪\n作曲 / YUU for YOU、常楽寺澪\n編曲 / YUU for YOU","bgm_MC293","1:30","0:53","bgm_MC293","双奏歌"
"462","ストーリーイベントテーマ\n-「最大級のあいうぉんちゅ！｣「アラクネ」アレンジ-\n\n時間 / 02:00\n作曲 / 吉村彰一（Dream Monster）、IM.Lab\n編曲 / 中川峻彰","bgm_MC298B","2:00","0:00","bgm_MC298B_juke","煉獄の名探偵　すべてがＷ（ウェブ）になる"
"463","キャラクターソング\n\n時間 / 01:33\n歌　 / アラクネ（遠藤綾）\n　　　ナーナ（黒沢ともよ）\n作詞 / 吉村彰一（Dream Monster）\n作曲 / 吉村彰一（Dream Monster）\n編曲 / 吉村彰一（Dream Monster）、\n　　　宮内椋太（TRIFRONTIER)","bgm_MC324","1:33","0:45","bgm_MC324","最大級のあいうぉんちゅ！"
"464","ストーリーイベントテーマ\n-「ヒメゴトWhisper」アレンジ-\n\n時間 / 01:43\n作曲 / 梯拓哉（Cygames）\n編曲 / 吉川美矩","bgm_MC305","1:43","0:00","bgm_MC305_juke","サイレント（ラスト）ナイト　ユイvsミソラのクリスマス大決戦"
"465","キャラクターソング\n\n時間 / 01:26\n歌　 / ミソラ（鬼頭明里）\n作詞 / 岩井彩夏（Cygames）\n作曲 / 梯拓哉（Cygames）\n編曲 / 梯拓哉（Cygames）","bgm_MC325","1:26","0:55","bgm_MC325","ヒメゴトWhisper"
"466","キャラクターテーマ\n-「心想い ～ココロオモイ～」アレンジ-\n\n時間 / 02:33\n作曲 / 内海考彰（TRYTONELABO）\n編曲 / 守谷勇人","bgm_MC311B","2:33","0","bgm_MC311B_juke","嚮導幼君"
"467","ストーリーイベントテーマ\n-「It's My Turn！」アレンジ-\n\n時間 / 01:51\n作曲 / 小野寺祐輔（Arte Refact）\n編曲 / 中町友洋","bgm_MC308A","1:51","0:00","bgm_MC308A_juke","Labyrinth -reboot　重なる黎明の標"
"468","キャラクターソング\n\n時間 / 01:29\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 藤村鼓乃美（Arte Refact）\n作曲 / 小野寺祐輔（Arte Refact）\n編曲 / 傳田有矢（Arte Refact）","bgm_MC326","1:29","0:51","bgm_MC326","It's My Turn！"
"469","キャラクターテーマ\n-「三魔姫属」アレンジ-\n\n時間 / 02:33\n作曲 / Enarak（Cygames）\n編曲 / 中町友洋","bgm_MC276","2:33","0:00","bgm_MC276_juke","リーザ（強欲）"
"470","キャラクターテーマ\n-「フレイヤ」アレンジ-\n\n時間 / 01:51\n作曲 / IM.Lab\n編曲 / 岡本優一（Cygames）","bgm_MC277B","1:51","0:00","bgm_MC277B_juke","フレイヤ（憤怒）"
"471","ストーリーイベントテーマ\n-「Delicious Future」「旅の始まり」アレンジ-\n\n時間 / 02:12\n作曲 / 市橋卓也（Cygames）、本田晃弘（Cygames）\n編曲 / 西村真吾","bgm_MC316","2:12","0:00","bgm_MC316_juke","Grand Cru Royal　召しませ！ハートフルコース"
"472","ストーリーイベントボスバトル\n-「新天地の強敵」アレンジ-\n\n時間 / 01:01\n作曲 / 東大路憲太\n編曲 / 田山里奈","bgm_MC295A","1:01","0:00","bgm_MC295A_juke","ラストドラゴン・スレイヴ"
"473","ストーリーイベントボスバトル\n\n時間 / 01:52\n作曲 / 小出大和 (Cygames)\n編曲 / 小出大和 (Cygames)","bgm_MC320","1:52","0:00","bgm_MC320_juke","六凶・獄蜂メリッサ"
"474","キャラクターソング\n\n時間 / 01:37\n歌　 / ペコリーヌ（M・A・O）\n　　　ライラエル（河瀬茉希）\n　　　ネフィ＝ネラ（大久保瑠美）\n　　　ヴァイオレット（長縄まりあ）\n作詞 / 岩井彩夏（Cygames）\n作曲 / 市橋卓也（Cygames）\n編曲 / 市橋卓也（Cygames）","bgm_MC327","1:37","0:55","bgm_MC327","Delicious Future"
"475","ストーリーイベントミニコンテンツ\n-｢Delicious Future｣アレンジ-\n\n時間 / 02:18\n作曲 / 市橋卓也（Cygames）\n編曲 / 吉川美矩","bgm_MC317A","2:18","0:00","bgm_MC317A_juke","福弾ける出張ビストロ"
"478","キャラクターソング\n\n時間 / 01:46\n歌　 / ペコリーヌ（M・A・O）\n作詞 / 高尾奏之介(F.M.F)\n作曲 / 高尾奏之介(F.M.F)\n編曲 / 高尾奏之介(F.M.F)","bgm_MC350","1:46","1:02","bgm_MC350","とびきりDear My Friends!"
"479","キャラクターテーマ\n-「Connecting Happy!!」アレンジ-\n\n時間 / 04:15\n作曲 / 高尾奏之介(F.M.F)\n編曲 / 守谷勇人","bgm_MC312B","4:15","0:12","bgm_MC312B_Full_juke","ペコリーヌ（アストライア）"
"480","キャラクターテーマ\n-「Delicious Future」「旅の始まり」アレンジ-\n\n時間 / 02:32\n作曲 / 市橋卓也（Cygames）、本田晃弘（Cygames）\n編曲 / 中町友洋","bgm_MC315A","2:32","0:00","bgm_MC315A_juke","ペコリーヌのグラン・クリュ"
"481","キャラクターテーマ\n-「Delicious Future」\n 「万華色めく新天地」アレンジ-\n\n時間 / 02:34\n作曲 / 市橋卓也（Cygames）、佐藤遥（Cygames）\n編曲 / 中町友洋","bgm_MC315B","2:34","0:00","bgm_MC315B_juke","ライラエルのグラン・クリュ"
"482","キャラクターテーマ\n-「Delicious Future」\n 「業火燃え盛りし密林」アレンジ-\n\n時間 / 02:37\n作曲 / 市橋卓也（Cygames）、IM.Lab\n編曲 / 中町友洋","bgm_MC315C","2:37","0:00","bgm_MC315C_juke","ネフィ＝ネラのグラン・クリュ"
"483","キャラクターテーマ\n-「Delicious Future」\n 「深閑たる永凍の冥界」アレンジ-\n\n時間 / 02:33\n作曲 / 市橋卓也（Cygames）、東大路憲太\n編曲 / 中町友洋","bgm_MC315D","2:33","0:00","bgm_MC315D_juke","ヴァイオレットのグラン・クリュ"
"484","ストーリーイベントテーマ\n-「Shake Your Peach♡」アレンジ-\n\n時間 / 01:02\n作曲 / YUU for YOU、常楽寺澪\n編曲 / 岡本優一（Cygames）","bgm_MC337","1:02","0:00","bgm_MC337_juke","爆熱！ピーチクラッシュ・トーナメント　ワカナ＆シオリのHIP＆SPLASH"
"485","キャラクターソング\n\n時間 / 01:20\n歌　 / ワカナ（石見舞菜香）\n　　　シオリ（小清水亜美）\n作詞 / 常楽寺澪\n作曲 / YUU for YOU、常楽寺澪\n編曲 / YUU for YOU","bgm_MC328","1:20","0:50","bgm_MC328","Shake Your Peach♡"
"486","黎明界ラビリンス\n-「迷宮女王」アレンジ-\n\n時間 / 01:27\n作曲 / 白井友規（Cygames）、岡本優一（Cygames）\n　　　小半大\n編曲 / 小半大","bgm_MC241","1:27","0:00","bgm_MC241_juke","いざ、黎明の門を開く"
"487","黎明界ラビリンス\n-「迷宮女王」アレンジ-\n\n時間 / 02:27\n作曲 / 白井友規（Cygames）、岡本優一（Cygames）\n　　　小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC242","2:27","0:00","bgm_MC242_juke","万象渦巻く迷宮回廊"
"488","黎明界ラビリンス\n-「迷宮女王」アレンジ-\n\n時間 / 02:05\n作曲 / 白井友規（Cygames）、岡本優一（Cygames）\n　　　守谷勇人\n編曲 / 守谷勇人","bgm_MC243","2:05","0:00","bgm_MC243_juke","万流帰一のエンドポイント"
"489","キャラクターソング\n\n時間 / 01:50\n歌　 / ペコリーヌ（M・A・O）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　シェフィ（近藤玲奈）\n作詞 / マイクスギヤマ\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC348","1:50","1:00","bgm_MC348","Precious Journey（美食殿ver.）"
"490","キャラクターソング\n\n時間 / 01:55\n歌　 / ペコリーヌ（M・A・O）\n　　　コッコロ（伊藤美来）\n　　　キャル（立花理香）\n　　　シェフィ（近藤玲奈）\n作詞 / 畑亜貴\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹（F.M.F）","bgm_MC349","1:55","1:00","bgm_MC349","Connecting Happy!!（4人ver.）"
"491","ストーリーイベントテーマ\n-「See-Through」アレンジ-\n\n時間 / 01:18\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 岡本優一（Cygames）","bgm_MC342A","1:18","0:00","bgm_MC342A_juke","VILLAINESS　回避せよ！キョウカのへんふし破滅エンド"
"492","キャラクターソング\n\n時間 / 01:29\n歌　 / グレイス（富田美憂）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","bgm_MC329","1:29","0:52","bgm_MC329","See-Through"
"493","キャラクターテーマ\n-「Absolute Secret」アレンジ-\n\n時間 / 01:25\n作曲 / 馬渕直純\n編曲 / 田山里奈","bgm_MC313B","1:25","0:00","bgm_MC313B_juke","覇瞳天星"
"494","エルピス討魔戦線\n\n時間 / 01:50\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC278C","1:18","0","bgm_MC278C_juke","奈落より出でし災禍"
"495","エルピス討魔戦線\n-「エルピス島の戦い」アレンジ-\n\n時間 / 01:26\n作曲 / 白井友規（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC294","1:29","0:00","bgm_MC294_juke","勇往なる戦陣にて魔を討たん"
"496","エルピス討魔戦線\n-「新天地の強敵」アレンジ-\n\n時間 / 01:03\n作曲 / 東大路憲太\n編曲 / 田山里奈","bgm_MC295B","1:25","0:00","bgm_MC295B_juke","明日を勝ち取る最前線"
"497","ストーリーイベントテーマ\n-「明け白むReRe｣アレンジ-\n\n時間 / 01:57\n作曲 / 佐藤厚仁\n編曲 / 吉川美矩","bgm_MC354","1:57","0:00","bgm_MC354_juke","Re:birth maiden　‐再誕の乙女たち‐"
"498","ストーリーイベントボスバトル\n\n時間 / 01:01\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）、小出大和（Cygames）","bgm_MC356","1:01","0:00","bgm_MC356_juke","ウォーロック局長 ヤトガミ"
"499","キャラクターソング\n\n時間 / 01:32\n歌　 / リリ（鈴木みのり）\n作詞 / 岩井彩夏（Cygames）\n作曲 / 佐藤厚仁\n編曲 / 佐藤厚仁","bgm_MC331","1:32","0:55","bgm_MC331","明け白むReRe"
"500","キャラクターテーマ\n-「幻境竜后」アレンジ-\n\n時間 / 02:59\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC359","0.124305555555556","0:00","bgm_MC359_juke","幻境竜后（第二形態）"
"501","キャラクターテーマ\n-「Ice Wings」アレンジ-\n\n時間 / 01:36\n作曲 / AJURIKA\n編曲 / 中川峻彰","bgm_MC360B","1:36","0:00","bgm_MC360B_juke","シェフィ（ヴァードラッヘ）"
"502","ストーリーイベントテーマ\n-「トキ×メキ=CAUTION!!」アレンジ-\n\n時間 / 01:37\n作曲 / 牧泰雅（Cygames）\n編曲 / 吉川美矩","bgm_MC369","1:37","0:00","bgm_MC369_juke","アンタッチャブル♡アイランド　夏の乙女は恋の爆弾"
"503","キャラクターソング\n\n時間 / 01:34\n歌　 / ルイズマリー（鈴代紗弓）\n作詞 / 牧泰雅（Cygames）\n作曲 / 牧泰雅（Cygames）\n編曲 / アッシュ井上（Dream Monster）\n　　　牧泰雅（Cygames）","bgm_MC332","1:34","1:00","bgm_MC332","トキ×メキ=CAUTION!!"
"504","ストーリーイベントテーマ\n-「Buzz Tune｣アレンジ-\n\n時間 / 01:22\n作曲 / lapix\n編曲 / 小出大和 (Cygames)","bgm_MC371","1:22","0:00","bgm_MC371_juke","ラヴって♡バズさまー！ #フブキ #ヴァンピィ #カワいさ拡散中！"
"505","キャラクターソング\n\n時間 / 01:41\n歌　 / フブキ（花井美春）\n　　　ヴァンピィ（釘宮理恵）\n作詞 / 岩井彩夏（Cygames）\n作曲 / lapix\n編曲 / lapix","bgm_MC333","1:41","0:50","bgm_MC333","Buzz Tune"
"506","ストーリーイベントボスバトル\n-「Buzz Tune｣アレンジ-\n\n時間 / 01:17\n作曲 / lapix、小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC372","1:17","0:00","bgm_MC372_juke","魔物討伐チャレンジ・配信中♡"
"507","キャラクターテーマ\n\n時間 / 03:33\n作曲 / 澤下葵\n編曲 / 澤下葵","bgm_MC003","3:33","0:00","bgm_MC003_juke","ティア"
"508","エンド・ヴィジョン　-幻竜争覇戦-\n\n時間 / 01:11\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC362A","1:11","0:00","bgm_MC362A_juke","エンド・ヴィジョン"
"509","エンド・ヴィジョン　-幻竜争覇戦-\n\n時間 / 01:11\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC362B","1:11","0:00","bgm_MC362B_juke","エンド・ヴィジョン - 幻境竜后＆ソルドラゴン-"
"510","エンド・ヴィジョン　-幻竜争覇戦-ボスバトル\n-「リーザ（強欲）｣アレンジ-\n\n時間 / 01:58\n作曲 / Enarak（Cygames）\n編曲 / 中町友洋","bgm_MC365","1:58","0:00","bgm_MC365_juke","『強欲』の簒奪者"
"511","エンド・ヴィジョン　-幻竜争覇戦-ボスバトル\n-「アルシャト｣アレンジ-\n\n時間 / 01:48\n作曲 / 岡本優一（Cygames）・加藤慶\n編曲 / 岡本優一（Cygames）","bgm_MC366","1:48","0:00","bgm_MC366_juke","『色欲』の誘惑者"
"512","エンド・ヴィジョン　-幻竜争覇戦-ボスバトル\n-「フレイヤ（憤怒）」アレンジ-\n\n時間 / 01:58\n作曲 / IM.Lab\n編曲 / 岡本優一（Cygames）","bgm_MC364","1:58","0:00","bgm_MC364_juke","『憤怒』の復讐者"
"513","エンド・ヴィジョン　-幻竜争覇戦-ボスバトル\n-「幻境竜后｣アレンジ-\n\n時間 / 01:52\n作詞 / 東大路憲太\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC367A","1:52","0:00","bgm_MC367A_juke","幻竜天臨"
"514","エンド・ヴィジョン　-幻竜争覇戦-ボスバトル\n-「幻境竜后｣アレンジ-\n\n時間 / 01:35\n作詞 / 東大路憲太\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC367B","1:35","0:00","bgm_MC367B_juke","Bad End Vision"
"515","プリンセスコネクトプロセス\n-「Precious Journey」アレンジ-\n\n時間 / 03:29\n作曲 / 東大路憲太・岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC358D","3:29","0:00","bgm_MC358D_withC_juke","プリンセスコネクトプロセス"
"516","エンド・ヴィジョン　-幻竜争覇戦-ボスバトル\n-「Precious Journey」アレンジ-\n\n時間 / 01:48\n作曲 / 東大路憲太\n編曲 / 小出大和 (Cygames)","bgm_MC368A","1:48","0:00","bgm_MC368A_juke","結んだ絆　何処までも――"
